T	Delta_BH_t_RRHO	Delta_BH_t_quasi_RRHO	BH_t
10.0	0.32690553283712004	0.2278134083285972	60.43690102314413
20.0	0.6073317779187076	0.45403672632000314	60.71732726822572
30.0	0.8367779245594459	0.6712814138772231	60.94677341486646
40.0	1.0182828317760073	0.8699816842221875	61.12827832208302
50.0	1.1559072186804935	1.0460207091902676	61.26590270898751
60.0	1.2558502191323775	1.19960357400247	61.36584570943939
70.0	1.3248929404894412	1.333252814155891	61.434888430796455
80.0	1.3696742969582667	1.4506532622736072	61.47966978726528
90.0	1.3962208105279363	1.5557806027322774	61.50621630083495
100.0	1.4096355809862717	1.6522955778226485	61.51963107129328
110.0	1.4139751161111076	1.743222654343978	61.523970606418125
120.0	1.4122791457941601	1.8308496955051452	61.52227463610117
130.0	1.4066921485545114	1.9167638018127482	61.51668763886153
140.0	1.3986239024463174	2.001954739137492	61.50861939275333
150.0	1.3889141764427153	2.086940938479164	61.49890966674973
160.0	1.3779822566002426	2.171892374123148	61.487977746907255
170.0	1.365952818396564	2.256737780050819	61.47594830870358
180.0	1.3527562656203687	2.3412517224697043	61.462751755927385
190.0	1.3382052468120031	2.4251215424294736	61.448200737119016
200.0	1.3220506994406653	2.507996394746356	61.43204618974768
210.0	1.3040212472652506	2.589521452759822	61.41401673757227
220.0	1.2838496179314243	2.669360430015204	61.39384510823844
230.0	1.2612892903780786	2.747209271286968	61.371284780685095
240.0	1.2361240232210475	2.8228034135645954	61.34611951352806
250.0	1.2081723644775195	2.8959205393798726	61.318167854784534
260.0	1.1772887523994253	2.9663803042959014	61.28728424270644
270.0	1.1433624063863679	3.0340421445119095	61.25335789669338
280.0	1.1063148773668132	3.098801965629562	61.21631036767383
290.0	1.066096871076784	3.160588275292188	61.176092361383795
300.0	1.0226847641546275	3.2193581416154533	61.13268025446164
