T	q_ratio	TPD_harm	Des_rate_harm	pre_harm	TPD_tait	Des_rate_tait	pre_tait	TPD_HH	Des_rate_HH	pre_HH
1.0	1.0	0.0	0.0	69976630214.94867	0.0	0.0	69976630214.94867	0.0	0.0	1665467018259.4915
1.1	1.0	0.0	0.0	97684896991.9113	0.0	0.0	97684896991.91127	0.0	0.0	1665467018259.4915
1.2000000000000002	0.9999999999999998	0.0	0.0	132460803764.09271	0.0	0.0	132460803764.0928	0.0	0.0	1665467018259.4915
1.3000000000000003	0.9999999999999969	0.0	0.0	175289038122.82794	0.0	0.0	175289038122.82852	0.0	0.0	1665467018259.4915
1.4000000000000004	0.9999999999999671	0.0	0.0	227196245224.48035	0.0	0.0	227196245224.48776	0.0	0.0	1665467018259.4915
1.5000000000000004	0.9999999999997391	0.0	0.0	289249376533.8812	0.0	0.0	289249376533.95667	0.0	0.0	1665467018259.4915
1.6000000000000005	0.999999999998405	0.0	0.0	362554219662.9391	0.0	0.0	362554219663.5172	0.0	0.0	1665467018259.4915
1.7000000000000006	0.9999999999921174	0.0	0.0	448254078403.2452	0.0	0.0	448254078406.7787	0.0	0.0	1665467018259.4915
1.8000000000000007	0.9999999999673779	0.0	0.0	547528578970.0098	0.0	0.0	547528578987.87146	0.0	0.0	1665467018259.4915
1.9000000000000008	0.9999999998837392	0.0	0.0	661592583514.2764	0.0	0.0	661592583591.1938	0.0	0.0	1665467018259.4915
2.000000000000001	0.9999999996351103	0.0	0.0	791695195704.2985	0.0	0.0	791695195993.1798	0.0	0.0	1665467018259.4915
2.100000000000001	0.9999999989729706	0.0	0.0	939118846001.6442	0.0	0.0	939118846966.1465	0.0	0.0	1665467018259.4915
2.200000000000001	0.9999999973688334	0.0	0.0	1105178446411.9304	0.0	0.0	1105178449319.839	0.0	0.0	1665467018259.4915
2.300000000000001	0.9999999937886344	0.0	0.0	1291220606142.8845	0.0	0.0	1291220614163.1274	0.0	0.0	1665467018259.4915
2.4000000000000012	0.9999999863497613	0.0	0.0	1498622900871.61	0.0	0.0	1498622921328.1711	0.0	0.0	1665467018259.4915
2.5000000000000013	0.9999999718331382	0.0	0.0	1728793189294.353	0.0	0.0	1728793237989.0332	0.0	0.0	1665467018259.4915
2.6000000000000014	0.9999999450283749	0.0	0.0	1983168971371.085	0.0	0.0	1983169080389.1118	0.0	0.0	1665467018259.4915
2.7000000000000015	0.9999998978990379	0.0	0.0	2263216783236.422	0.0	0.0	2263217014313.056	0.0	0.0	1665467018259.4915
2.8000000000000016	0.9999998185665221	0.0	0.0	2570431624171.2827	0.0	0.0	2570432090533.7163	0.0	0.0	1665467018259.4915
2.9000000000000017	0.9999996901234615	0.0	0.0	2906336411353.3384	0.0	0.0	2906337311959.085	0.0	0.0	1665467018259.4915
3.0000000000000018	0.9999994892996859	0.0	0.0	3272481458360.1084	0.0	0.0	3272483129618.272	0.0	0.0	1665467018259.4915
3.100000000000002	0.999999185014185	0.0	0.0	3670443973612.38	0.0	0.0	3670446964974.5913	0.0	0.0	1665467018259.4915
3.200000000000002	0.9999987368545161	0.0	0.0	4101827575138.408	0.0	0.0	4101832756349.93	0.0	0.0	1665467018259.4915
3.300000000000002	0.9999980935300585	0.0	0.0	4568261818226.872	0.0	0.0	4568270527497.316	0.0	0.0	1665467018259.4915
3.400000000000002	0.9999971913473833	0.0	0.0	5071401732729.6045	0.0	0.0	5071415976575.357	0.0	0.0	1665467018259.4915
3.500000000000002	0.9999959527549409	0.0	0.0	5612927366980.629	0.0	0.0	5612950083965.121	0.0	0.0	1665467018259.4915
3.6000000000000023	0.9999942850007137	0.0	0.0	6194543335519.07	0.0	0.0	6194578737532.136	0.0	0.0	1665467018259.4915
3.7000000000000024	0.9999920789409645	0.0	0.0	6817978368039.996	0.0	0.0	6818032374076.9375	0.0	0.0	1665467018259.4915
3.8000000000000025	0.9999892080313705	0.0	0.0	7484984857247.448	0.0	0.0	7485065635840.98	0.0	0.0	1665467018259.4915
3.9000000000000026	0.9999855275242162	0.0	0.0	8197338403544.155	0.0	0.0	8197457041042.671	0.0	0.0	1665467018259.4915
4.000000000000003	0.9999808738874982	0.0	0.0	8956837354757.996	0.0	0.0	8957008667513.45	0.0	0.0	1665467018259.4915
4.100000000000003	0.9999750644541837	0.0	0.0	9765302339372.158	0.0	0.0	9765545848588.082	0.0	0.0	1665467018259.4915
4.200000000000003	0.9999678973028163	0.0	0.0	10624575791988.453	0.0	0.0	10624916880477.67	0.0	0.0	1665467018259.4915
4.3000000000000025	0.999959151364407	0.0	0.0	11536521470008.203	0.0	0.0	11536992740420.496	0.0	0.0	1665467018259.4915
4.400000000000003	0.9999485867452543	0.0	0.0	12503023960757.46	0.0	0.0	12503666814964.674	0.0	0.0	1665467018259.4915
4.5000000000000036	0.9999359452510281	0.0	0.0	13525988178511.533	0.0	0.0	13526854637789.736	0.0	0.0	1665467018259.4915
4.600000000000003	0.999920951094183	0.0	0.0	14607338851084.111	0.0	0.0	14608493636521.709	0.0	0.0	1665467018259.4915
4.700000000000003	0.999903311764457	0.0	0.0	15749019995838.182	0.0	0.0	15750542888038.871	0.0	0.0	1665467018259.4915
4.800000000000003	0.9998827190407679	0.0	0.0	16952994385147.764	0.0	0.0	16954982881803.908	0.0	0.0	1665467018259.4915
4.900000000000004	0.9998588501221974	0.0	0.0	18221243001491.62	0.0	0.0	18223815290793.01	0.0	0.0	1665467018259.4915
5.0000000000000036	0.9998313688557521	0.0	0.0	19555764482492.035	0.0	0.0	19559062749623.914	0.0	0.0	1665467018259.4915
5.100000000000003	0.9997999270391651	0.0	0.0	20958574556324.617	0.0	0.0	20962768639513.62	0.0	0.0	1665467018259.4915
5.200000000000004	0.9997641657780241	0.0	0.0	22431705468019.492	0.0	0.0	22436996879722.094	0.0	0.0	1665467018259.4915
5.300000000000004	0.9997237168778098	0.0	0.0	23977205397251.516	0.0	0.0	23983831725162.625	0.0	0.0	1665467018259.4915
5.400000000000004	0.9996782042530249	0.0	0.0	25597137868278.89	0.0	0.0	25605377569880.57	0.0	0.0	1665467018259.4915
5.5000000000000036	0.9996272453372871	0.0	0.0	27293581152736.418	0.0	0.0	27303758756122.348	0.0	0.0	1665467018259.4915
5.600000000000004	0.9995704524800492	0.0	0.0	29068627666023.668	0.0	0.0	29081119388734.49	0.0	0.0	1665467018259.4915
5.700000000000005	0.9995074343174252	0.0	0.0	30924383358051.355	0.0	0.0	30939623154649.137	0.0	0.0	1665467018259.4915
5.800000000000004	0.9994377971063638	0.0	0.0	32862967099121.7	0.0	0.0	32881453147228.027	0.0	0.0	1665467018259.4915
5.900000000000004	0.9993611460131342	0.0	0.0	34886510061722.59	0.0	0.0	34908811695250.855	0.0	0.0	1665467018259.4915
6.000000000000004	0.999277086348686	0.0	0.0	36997155099011.4	0.0	0.0	37023920196346.51	0.0	0.0	1665467018259.4915
6.100000000000005	0.9991852247449775	0.0	0.0	39197056120755.336	0.0	0.0	39229018954678.414	0.0	0.0	1665467018259.4915
6.200000000000005	0.9990851702677098	0.0	0.0	41488377467479.51	0.0	0.0	41526367022705.88	0.0	0.0	1665467018259.4915
6.300000000000004	0.9989765354621785	0.0	0.0	43873293283555.03	0.0	0.0	43918242046853.45	0.0	0.0	1665467018259.4915
6.400000000000005	0.9988589373300577	0.0	0.0	46353986889936.62	0.0	0.0	46406940116930.305	0.0	0.0	1665467018259.4915
6.500000000000005	0.998731998235918	0.0	0.0	48932650157233.81	0.0	0.0	48994775619149.7	0.0	0.0	1665467018259.4915
6.600000000000005	0.9985953467431251	0.0	0.0	51611482879772.68	0.0	0.0	51684081092607.99	0.0	0.0	1665467018259.4915
6.700000000000005	0.9984486183795241	0.0	0.0	54392692151276.23	0.0	0.0	54477207089089.09	0.0	0.0	1665467018259.4915
6.800000000000005	0.9982914563339131	0.0	0.0	57278491742760.93	0.0	0.0	57376522036067.76	0.0	0.0	1665467018259.4915
6.900000000000006	0.9981235120848478	0.0	0.0	60271101483217.96	0.0	0.0	60384412102792.41	0.0	0.0	1665467018259.4915
7.000000000000005	0.9979444459637389	0.0	0.0	63372746643615.59	0.0	0.0	63503281069333.47	0.0	0.0	1665467018259.4915
7.100000000000005	0.9977539276545404	0.0	0.0	66585657324729.49	0.0	0.0	66735550198489.36	0.0	0.0	1665467018259.4915
7.2000000000000055	0.9975516366326042	0.0	0.0	69912067849276.945	0.0	0.0	70083658110447.65	0.0	0.0	1665467018259.4915
7.300000000000006	0.9973372625454606	0.0	0.0	73354216158800.89	0.0	0.0	73550060660104.2	0.0	0.0	1665467018259.4915
7.400000000000006	0.9971105055384326	0.0	0.0	76914343215721.27	0.0	0.0	77137230816947.47	0.0	0.0	1665467018259.4915
7.500000000000005	0.9968710765280796	0.0	0.0	80594692410941.27	0.0	0.0	80847658547420.08	0.0	0.0	1665467018259.4915
7.600000000000006	0.9966186974265089	0.0	0.0	84397508977368.94	0.0	0.0	84683850699672.9	0.0	0.0	1665467018259.4915
7.700000000000006	0.9963531013196034	0.0	0.0	88325039409688.5	0.0	0.0	88648330890632.9	0.0	0.0	1665467018259.4915
7.800000000000006	0.9960740326021936	0.0	0.0	92379530890687.06	0.0	0.0	92743639395306.97	0.0	0.0	1665467018259.4915
7.900000000000006	0.9957812470731544	0.0	0.0	96563230724421.86	0.0	0.0	96972333038250.02	0.0	0.0	1665467018259.4915
8.000000000000007	0.9954745119933217	0.0	0.0	100878385776482.47	0.0	0.0	101336985087127.16	0.0	0.0	1665467018259.4915
8.100000000000007	0.995153606109077	0.0	0.0	105327241921586.17	0.0	0.0	105840185148303.08	0.0	0.0	1665467018259.4915
8.200000000000006	0.9948183196443094	0.0	0.0	109912043498718.81	0.0	0.0	110484539064396.33	0.0	0.0	1665467018259.4915
8.300000000000006	0.9944684542633705	0.0	0.0	114635032774010.11	0.0	0.0	115272668813736.62	0.0	0.0	1665467018259.4915
8.400000000000006	0.9941038230075474	0.0	0.0	119498449411518.3	0.0	0.0	120207212411666.84	0.0	0.0	1665467018259.4915
8.500000000000007	0.993724250207412	0.0	0.0	124504529952073.3	0.0	0.0	125290823813634.89	0.0	0.0	1665467018259.4915
8.600000000000007	0.9933295713733303	0.0	0.0	129655507300312.62	0.0	0.0	130526172820020.95	0.0	0.0	1665467018259.4915
8.700000000000006	0.9929196330662601	0.0	0.0	134953610220026.8	0.0	0.0	135915944982649.97	0.0	0.0	1665467018259.4915
8.800000000000008	0.9924942927508562	0.0	0.0	140401062837911.42	0.0	0.0	141462841512939.62	0.0	0.0	1665467018259.4915
8.900000000000007	0.9920534186327852	0.0	0.0	146000084155810.75	0.0	0.0	147169579191635.88	0.0	0.0	1665467018259.4915
9.000000000000007	0.991596889482023	0.0	0.0	151752887571520.97	0.0	0.0	153038890280093.12	0.0	0.0	1665467018259.4915
9.100000000000007	0.9911245944437956	0.0	0.0	157661680408205.5	0.0	0.0	159073522433052.84	0.0	0.0	1665467018259.4915
9.200000000000006	0.9906364328387247	0.0	0.0	163728663452465.84	0.0	0.0	165276238612880.47	0.0	0.0	1665467018259.4915
9.300000000000008	0.9901323139536115	0.0	0.0	169956030501092.84	0.0	0.0	171649817005220.38	0.0	0.0	1665467018259.4915
9.400000000000007	0.9896121568242019	0.0	0.0	176345967916516.25	0.0	0.0	178197050936029.47	0.0	0.0	1665467018259.4915
9.500000000000007	0.9890758900111839	0.0	0.0	182900654190957.2	0.0	0.0	184920748789952.88	0.0	0.0	1665467018259.4915
9.600000000000009	0.9885234513705565	0.0	0.0	189622259519276.97	0.0	0.0	191823733930006.12	0.0	0.0	1665467018259.4915
9.700000000000008	0.9879547878194336	0.0	0.0	196512945380506.53	0.0	0.0	198908844618528.03	0.0	0.0	1665467018259.4915
