T	mean	std	min_val	max_val
1.0	0.9999999999999575	1.0000000000004279	0.9999999999998881	1.0000000000000266
2.0	0.9999999767265566	1.0000002257978535	0.9999999400997222	1.0000000132285987
3.0	0.9999979117708085	1.0000194118801746	0.9999947629971803	1.00000104982591
4.0	0.9999789908122669	1.0001846232846117	0.9999490467716952	1.0000088337206674
5.0	0.9999118494445421	1.0007226367513695	0.999794689518857	1.0000286238462153
6.0	0.9997613787065902	1.0018113760019844	0.9994679329550953	1.0000539103564103
7.0	0.9994985671625247	1.0035195137242785	0.9989291145344358	1.0000664025381243
8.0	0.9991031808985672	1.0058336699965058	0.9981609371248699	1.0000430992098364
9.0	0.998562707036313	1.008699143690892	0.9971607191783189	0.99996187919127
10.0	0.9978699374810648	1.0120473918148745	0.9959334180958442	0.9998036050145438
11.0	0.9970204900651236	1.0158103132190057	0.9944867560805312	0.9995520136252177
12.0	0.9960108967308986	1.0199264679022375	0.9928282547565603	0.9991928451784265
13.0	0.9948374336664499	1.0243431074043767	0.9909637185537077	0.9987130155251607
14.0	0.9934956092137811	1.0290161996454132	0.9888967184180801	0.9981001088023991
15.0	0.991980123944961	1.0339095725251635	0.9866286989342897	0.9973421932781822
16.0	0.9902851118111812	1.0389937430704617	0.9841594195787433	0.9964278659666604
17.0	0.9884045089436418	1.044244715152743	0.9814875271801093	0.9953464212364413
18.0	0.9863324447634886	1.0496428808030527	0.9786111307809137	0.9940880611484688
19.0	0.9840635927316613	1.0551720802929554	0.9755283070370576	0.9926440939474366
20.0	0.9815934500636481	1.0608188327368888	0.9722375040431346	0.991007091515995
21.0	0.9789185370649515	1.066571726374944	0.9687378367610794	0.9891709940340334
22.0	0.9760365194786176	1.0724209473813857	0.9650292816747867	0.9871311611220953
23.0	0.972946263828526	1.0783579228985969	0.9611127852989432	0.9848843749128651
24.0	0.9696478383225746	1.084375054804441	0.9569903034696569	0.9824288033325895
25.0	0.9661424720576991	1.0904655234630893	0.9526647879212543	0.9797639326288404
26.0	0.9624324841551944	1.0966231441589012	0.9481401348414925	0.9768904777452996
27.0	0.9585211927647858	1.1028422623730796	0.9434211077332445	0.973810278112286
28.0	0.9544128120382503	1.109117677179229	0.9385132444818968	0.9705261851638689
29.0	0.9501123434244697	1.1154445846634091	0.9334227562910153	0.9670419466238397
30.0	0.9456254660916449	1.1218185353951982	0.9281564242175728	0.9633620914374849
31.0	0.9409584299795829	1.1282354016299694	0.9227214974415662	0.9594918182148119
32.0	0.9361179539248037	1.1346913511775478	0.9171255961274497	0.9554368892073853
33.0	0.9311111304621602	1.1411828258032126	0.9113766207394607	0.951203531158485
34.0	0.9259453382585179	1.147706522703505	0.9054826689154977	0.9467983438282842
35.0	0.9206281626448296	1.1542593780818065	0.8994519604409521	0.942228216581667
36.0	0.9151673243525997	1.1608385521864364	0.8932927704552711	0.9375002531153792
37.0	0.9095706163027467	1.1674414154060435	0.8870133707361426	0.9326217041742062
38.0	0.9038458481167594	1.1740655351731248	0.8806219787109836	0.9275999079457979
39.0	0.8980007979032786	1.1807086635289195	0.8741267137202431	0.9224422377162178
40.0	0.892043170802886	1.187368725268165	0.8675355599839518	0.9171560563013107
41.0	0.885980563738069	1.1940438066220576	0.8608563356879927	0.9117486767328242
42.0	0.8798204358047197	1.2007321444607175	0.8540966675988859	0.9062273286650389
43.0	0.8735700837489162	1.2074321160084007	0.8472639706273055	0.9005991299712792
44.0	0.8672366219925687	1.2141422290696875	0.8403654317848113	0.8948710630152236
45.0	0.8608269666995677	1.2208611127657012	0.8334079980107868	0.8890499551056196
46.0	0.8543478234072143	1.2275875087778745	0.8263983673838886	0.8831424626719877
47.0	0.8478056777835534	1.234320263094095	0.819342983271932	0.8771550587309257
48.0	0.8412067891080857	1.2410583182489736	0.8122480310142989	0.8710940232460969
49.0	0.8345571861099708	1.247800706046927	0.8051194367704094	0.8649654360187091
50.0	0.827862664833366	1.2545465407540468	0.7979628682056777	0.8587751717783497
51.0	0.8211287882334419	1.2612950127423885	0.7907837367221766	0.8525288971759043
52.0	0.8143608872384634	1.2680453825685054	0.7835872009745956	0.8462320694104877
53.0	0.8075640630429602	1.274796975466664	0.7763781714428718	0.8398899362506504
54.0	0.8007431904243013	1.2815491762362663	0.7691613158610155	0.8335075372364226
55.0	0.79390292189996	1.288301424502446	0.7619410653272262	0.8270897058730015
56.0	0.7870476925654426	1.2950532103286196	0.7547216209434515	0.8206410726490697
57.0	0.7801817254733304	1.3018040701598452	0.7475069608532235	0.8141660687328943
58.0	0.7733090374323294	1.3085535830761614	0.740300847565084	0.8076689302176338
59.0	0.7664334451216755	1.3153013673355805	0.7331068354653127	0.8011537028037117
60.0	0.7595585714309481	1.3220470771870518	0.7259282784381925	0.7946242468208747
61.0	0.7526878519483612	1.3287903999344892	0.7187683375248403	0.788084242505732
62.0	0.7458245415321303	1.3355310532337672	0.7116299885628589	0.781537195462301
63.0	0.7389717209096659	1.3422687826055122	0.704516029758896	0.7749864422435047
64.0	0.7321323032582483	1.3490033591474218	0.6974290891547391	0.7684351560007495
65.0	0.7253090407286457	1.3557345774307865	0.6903716319550093	0.7618863521568442
66.0	0.7185045308799317	1.362462253566832	0.6833459676909405	0.7553428940646291
67.0	0.7117212229996649	1.3691862234294279	0.6763542572002448	0.7488074986199345
68.0	0.7049614242887086	1.3759063410216013	0.6693985194078191	0.7422827418029282
69.0	0.6982273058943829	1.3826224769741882	0.6624806378960864	0.7357710641266579
70.0	0.6915209087794179	1.389334517165783	0.6556023672571916	0.7292747759756895
