T	q_vib_full	q_vib_frag	q_rot_vib_full	q_rot_vib_frag
1.0	1.0	1.0	78.14837827351856	54.508605142560754
2.0	0.9999999969560824	0.9999999999895788	49.21341747279229	32.770647368950634
3.0	0.9999980771539655	0.999999952289539	36.610176358269555	23.885819935590433
4.0	0.999952442313927	0.9999967718013322	29.309077746848267	18.919188872145018
5.0	0.99967351784926	0.9999595266366865	24.476618211768194	15.708462025017957
6.0	0.9988124591159275	0.9997815677482871	21.01608890213499	13.447532408981493
7.0	0.996990192974275	0.9992716994142214	18.404628551968813	11.76249646579939
8.0	0.9939125956757809	0.9982026373532591	16.35843775957798	10.454713380292333
9.0	0.9894112131525838	0.9963697995715758	14.70907063769748	9.408309741991795
10.0	0.983433510764756	0.993626013090284	13.34974923424857	8.550885772076372
11.0	0.9760141728684647	0.9898892419193002	12.209264396466303	7.83475326947651
12.0	0.9672451442364944	0.9851338520247015	11.238166476752477	7.227157349140681
13.0	0.9572511215296406	0.9793757826926248	10.400962630907912	6.704819535621781
14.0	0.9461717129924592	0.9726579103224803	9.671469478608723	6.250720212195461
15.0	0.9341494065033703	0.9650383033865049	9.02992180684411	5.852113765768944
16.0	0.9213219886765386	0.9565819198107092	8.461105963671553	5.499257085258095
17.0	0.9078181537614478	0.9473553067226734	7.953115537508517	5.1845685624683
18.0	0.8937552980528314	0.9374235555530912	7.496498215669283	4.902056305421283
19.0	0.8792387532118416	0.9268487885387973	7.08365615014023	4.64691991190599
20.0	0.8643619241867375	0.9156895978766548	6.7084151522047835	4.4152671339905725
21.0	0.8492069596059044	0.9040010228935977	6.365709121777799	4.203908385891605
22.0	0.8338457020846991	0.8918347913831528	6.051344898334205	4.010205100492424
23.0	0.8183407521817282	0.8792396573851712	5.761824374614001	3.8319560427913766
24.0	0.8027465409339917	0.8662617413179228	5.49420812539745	3.6673108429745143
25.0	0.787110348481297	0.852944826196657	5.246009624801665	3.51470336187835
26.0	0.7714732352414276	0.8393305928080317	5.015112329161349	3.372799721138534
27.0	0.7558708711995319	0.8254587931542071	4.799704074005629	3.2404573265673537
28.0	0.7403342609743129	0.8113673697591613	4.598224732977822	3.1166922381603754
29.0	0.7248903695415376	0.7970925317295599	4.4093241397377385	3.0006529525901464
30.0	0.7095626573938564	0.7826687989158366	4.231828025507906	2.8915991662886533
31.0	0.6943715356268084	0.7681290244913985	4.064710269182522	2.7888844460011497
32.0	0.6793347517686754	0.7535044045948137	3.9070701562837344	2.6919419932559467
33.0	0.6644677166766417	0.7388244818464634	3.758113639652116	2.6002728792720227
34.0	0.649783781882615	0.7241171478182058	3.617137817461967	2.513436267646013
35.0	0.6352944756383738	0.7094086480249786	3.4835180130330055	2.4310412476550187
36.0	0.6210097047379625	0.694723591762723	3.3566969701303213	2.352739980884447
37.0	0.6069379280782127	0.6800849681341857	3.2361757771266	2.278221924972196
38.0	0.5930863069057272	0.6655141688573364	3.1215062108685747	2.2072089454184267
39.0	0.5794608358120668	0.6510310179053083	3.0122842517032273	2.139451163138833
40.0	0.5660664577822503	0.6366538076453591	2.908144568841085	2.074723414284358
41.0	0.5529071659686718	0.6223993408932391	2.808755813022317	2.0128222216747216
42.0	0.5399860943412538	0.6082829781485496	2.7138165835340646	1.9535631953826864
43.0	0.527305598940938	0.5943186892011352	2.623051960695116	1.8967787945936283
44.0	0.5148673311228523	0.5805191082777232	2.536210514269877	1.8423163946344143
45.0	0.502672303903877	0.5668955919157499	2.4530617138928736	1.7900366126115792
46.0	0.4907209523143707	0.5534582787949363	2.373393680248499	1.7398118528794693
47.0	0.4790131884846883	0.5402161508171112	2.297011226059327	1.6915250399296906
48.0	0.4675484520645507	0.5271770947938587	2.2237341443599568	1.645068511530365
49.0	0.4563257564697827	0.5143479641745973	2.1533957084425275	1.6003430492656725
50.0	0.445343731369903	0.5017346403209305	2.0858413535472007	1.5572570272047659
51.0	0.434600661766803	0.4893420929040338	2.0209275150684496	1.5157256624026358
52.0	0.4240945239649876	0.47717443906878365	1.9585206019413006	1.4756703534126854
53.0	0.41382301869456534	0.465235001070286	1.8984960871088712	1.4370180950613016
54.0	0.40378360161684584	0.4535263621448777	1.8407376996729412	1.399700959469268
55.0	0.393973511417128	0.44205042042839726	1.7851367055888376	1.3636556347622477
56.0	0.3843897956685817	0.4308084407795676	1.7315912656622972	1.3288230141398054
57.0	0.3750293346339545	0.419801104405953	1.6800058612024058	1.2951478290083904
