T	TPD	Des_rate
10.0	1.7916988282853124e-248	1.7916988282853122e-249
10.1	7.062318146841614e-246	7.062318146841613e-247
10.2	2.476745552080571e-243	2.476745552080571e-244
10.299999999999999	7.754325426358469e-241	7.754325426358469e-242
10.399999999999999	2.174478295609895e-238	2.1744782956098947e-239
10.499999999999998	5.47873625324534e-236	5.478736253245341e-237
10.599999999999998	1.2440398678947795e-233	1.2440398678947794e-234
10.699999999999998	2.5531833684528894e-231	2.5531833684528895e-232
10.799999999999997	4.7494344613010136e-229	4.749434461301013e-230
10.899999999999997	8.0294845676928e-227	8.0294845676928e-228
10.999999999999996	1.2369448806419003e-224	1.2369448806419003e-225
11.099999999999996	1.7406852000948096e-222	1.7406852000948095e-223
11.199999999999996	2.24310041462934e-220	2.24310041462934e-221
11.299999999999995	2.6530776871850777e-218	2.6530776871850777e-219
11.399999999999995	2.8867063564042854e-216	2.8867063564042852e-217
11.499999999999995	2.8956844698864954e-214	2.895684469886495e-215
11.599999999999994	2.683538901865726e-212	2.6835389018657256e-213
11.699999999999994	2.3022552057192277e-210	2.3022552057192275e-211
11.799999999999994	1.8320569850637614e-208	1.8320569850637614e-209
11.899999999999993	1.354836490366628e-206	1.3548364903666278e-207
11.999999999999993	9.328079371621955e-205	9.328079371621956e-206
12.099999999999993	5.989958335447869e-203	5.989958335447869e-204
12.199999999999992	3.593562322930151e-201	3.5935623229301507e-202
12.299999999999992	2.0175104561772105e-199	2.0175104561772105e-200
12.399999999999991	1.0616756826571479e-197	1.0616756826571478e-198
12.499999999999991	5.244781169573585e-196	5.244781169573584e-197
12.59999999999999	2.4359865345385296e-194	2.4359865345385295e-195
12.69999999999999	1.0652865474101408e-192	1.0652865474101408e-193
12.79999999999999	4.392526120954907e-191	4.392526120954907e-192
12.89999999999999	1.7100623347771154e-189	1.7100623347771152e-190
12.99999999999999	6.294109474250836e-188	6.294109474250836e-189
13.099999999999989	2.193001560907732e-186	2.193001560907732e-187
13.199999999999989	7.242133699223732e-185	7.2421336992237315e-186
13.299999999999988	2.2695590497576918e-183	2.2695590497576914e-184
13.399999999999988	6.757289808954363e-182	6.757289808954362e-183
13.499999999999988	1.91360990086823e-180	1.91360990086823e-181
13.599999999999987	5.16016112734782e-179	5.16016112734782e-180
13.699999999999987	1.326377998840412e-177	1.326377998840412e-178
13.799999999999986	3.253248799331921e-176	3.2532487993319213e-177
13.899999999999986	7.621701006518599e-175	7.621701006518599e-176
13.999999999999986	1.7072511366110784e-173	1.7072511366110784e-174
14.099999999999985	3.6598890223963775e-172	3.6598890223963775e-173
14.199999999999985	7.515638786511057e-171	7.515638786511057e-172
14.299999999999985	1.4797303489643194e-169	1.4797303489643195e-170
14.399999999999984	2.7957499594160945e-168	2.7957499594160945e-169
14.499999999999984	5.073212065553166e-167	5.073212065553166e-168
14.599999999999984	8.849044983494185e-166	8.849044983494185e-167
14.699999999999983	1.4848700840752302e-164	1.4848700840752303e-165
14.799999999999983	2.3988312692047983e-163	2.3988312692047985e-164
14.899999999999983	3.733890007013228e-162	3.733890007013228e-163
14.999999999999982	5.603978635446726e-161	5.603978635446726e-162
15.099999999999982	8.115561470403819e-160	8.115561470403818e-161
15.199999999999982	1.1348372536782385e-158	1.1348372536782385e-159
15.299999999999981	1.5333428865403284e-157	1.5333428865403286e-158
15.39999999999998	2.0032064691764003e-156	2.0032064691764003e-157
15.49999999999998	2.5320684712183643e-155	2.532068471218364e-156
15.59999999999998	3.098587792488208e-154	3.0985877924882077e-155
15.69999999999998	3.673322962775502e-153	3.673322962775502e-154
15.79999999999998	4.2210733833876496e-152	4.2210733833876497e-153
15.899999999999979	4.704463793875718e-151	4.704463793875718e-152
15.999999999999979	5.088261094413335e-150	5.088261094413335e-151
16.09999999999998	5.34371263226557e-149	5.34371263226557e-150
16.199999999999978	5.452148679459312e-148	5.452148679459312e-149
16.299999999999976	5.407217219495365e-147	5.407217219495365e-148
16.399999999999977	5.2153864570143015e-146	5.215386457014301e-147
16.49999999999998	4.894691196012015e-145	4.894691196012015e-146
16.599999999999977	4.4720279584233615e-144	4.472027958423361e-145
16.699999999999974	3.9795438102585416e-143	3.9795438102585414e-144
16.799999999999976	3.450768463657039e-142	3.450768463657039e-143
16.899999999999977	2.917100925319214e-141	2.917100925319214e-142
16.999999999999975	2.4051095458186447e-140	2.4051095458186445e-141
17.099999999999973	1.9348894653505357e-139	1.9348894653505358e-140
17.199999999999974	1.519501211556329e-138	1.519501211556329e-139
